"Source:","E:\Projects\4.4 IN9 Music Visualizer RevC\In9 Music Visualizer RevC\In9 Music Visualizer RevC.sch"
"Date:","8/29/2021 4:59:00 PM"
"Tool:","Eeschema (5.1.9)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","98"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","08055C104KAT4A"
"","","C2","620pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CC0805JRNPO9BN621"
"","","C3","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","08055C104KAT4A"
"","","C4","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","08055C104KAT4A"
"","","C5","100uF","Device:CP1","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","ESY107M025AE3AA"
"","","C6","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","GRM21BR61E106MA73L"
"","","C7","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","GRM21BR61E106MA73L"
"","","C8","82uF","Device:CP1","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm","EEU-ED2E820S"
"","","C9","82uF","Device:CP1","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm","EEU-ED2E820S"
"","","C10","1uF","Device:C","Capacitor_SMD:C_2220_5650Metric_Pad1.97x5.40mm_HandSolder","C5750X7R2E105K230KA"
"","","C11","1uF","Device:C","Capacitor_SMD:C_2220_5650Metric_Pad1.97x5.40mm_HandSolder","C5750X7R2E105K230KA"
"","","C12","1uF","Device:C","Capacitor_SMD:C_2220_5650Metric_Pad1.97x5.40mm_HandSolder","C5750X7R2E105K230KA"
"","","C13","1uF","Device:C","Capacitor_SMD:C_2220_5650Metric_Pad1.97x5.40mm_HandSolder","C5750X7R2E105K230KA"
"","","C14","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","08055C104KAT4A"
"","","C15","0.16uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CL21B154KBFNNNG"
"","","C16","3.3nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","885012207119"
"","","C17","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","08055C103KAT2A"
"","","C18","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","08055C104KAT4A"
"","","C19","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","GRM21BR61E106MA73L"
"","","C20","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","GRM21BR61E106MA73L"
"","","C21","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","08055C104KAT4A"
"","","C22","22pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CL21C220JBANNNC"
"","","C23","22uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CL21A226MOCLRNC"
"","","C24","22uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CL21A226MOCLRNC"
"","","C25","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CL21A475KPFNNNE"
"","","C26","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CL21A475KPFNNNE"
"","","C27","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CL21A475KPFNNNE"
"","","C28","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CL21A475KPFNNNE"
"","","C29","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CL21A475KPFNNNE"
"","","C30","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CL21A475KPFNNNE"
"","","C31","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CL21A475KPFNNNE"
"","","C32","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CL21A475KPFNNNE"
"","","C33","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CL21A475KPFNNNE"
"","","C34","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CL21A475KPFNNNE"
"","","C35","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CL21A475KPFNNNE"
"","","D1","MUR860J","Device:D","Diode_SMD:D_SMC_Handsoldering","MUR860J"
"","","HS1","V6560W","Mechanical:Heatsink","My_Library:V6560W","V6560W"
"","","J1","PWR_IN","Connector_Generic:Conn_01x02","My_Library:640456-2","640456-2"
"","","J2","PWR_IN","Connector_Generic:Conn_01x02","My_Library:640456-2","640456-2"
"","","J3","MIC_INPUT","Connector_Generic:Conn_01x03","My_Library:640456-3","640456-3"
"","","J4","IN9_MOUNTING_BOARD","Connector_Generic:Conn_01x12","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","BHR-12-VUA"
"","","L1","330uH","Device:L","My_Library:L_Murata_6000B","60B334C"
"","","L2","4.7uH","Device:L","Inductor_SMD:L_Bourns_SRN6045TA","SRN6045-4R7Y"
"","","MCU1","Teensy 3.6","Connector_Generic:Conn_02x24_Counter_Clockwise","My_Library:Teensy3.6","~"
"","","Q1","DMN6140L-13","Device:Q_NMOS_GSD","Package_TO_SOT_SMD:SOT-23_Handsoldering","DMN6140L-13"
"","","Q2","STF13NM60N","Device:Q_NMOS_GDS","Package_TO_SOT_THT:TO-220-3_Vertical","STF13NM60N"
"","","Q3","FZT857TA","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-223-3_TabPin2","FZT857TA"
"","","Q4","FZT857TA","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-223-3_TabPin2","FZT857TA"
"","","Q5","FZT857TA","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-223-3_TabPin2","FZT857TA"
"","","Q6","FZT857TA","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-223-3_TabPin2","FZT857TA"
"","","Q7","FZT857TA","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-223-3_TabPin2","FZT857TA"
"","","Q8","FZT857TA","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-223-3_TabPin2","FZT857TA"
"","","Q9","FZT857TA","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-223-3_TabPin2","FZT857TA"
"","","Q10","FZT857TA","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-223-3_TabPin2","FZT857TA"
"","","Q11","FZT857TA","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-223-3_TabPin2","FZT857TA"
"","","Q12","FZT857TA","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-223-3_TabPin2","FZT857TA"
